Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Aachen,1,Valid,L5,,1880-01-01T00:00:00.000,50.775000,6.083330,"[6.08333, 50.775]"
Aarhus,2,Valid,H6,,1951-01-01T00:00:00.000,56.183330,10.233330,"[10.23333, 56.18333]"
Abee,6,Valid,EH4,,1952-01-01T00:00:00.000,54.216670,-113.000000,"[-113, 54.21667]"
Acapulco,10,Valid,Acapulcoite,,1976-01-01T00:00:00.000,16.883330,-99.900000,"[-99.9, 16.88333]"
Achiras,370,Valid,L6,,1902-01-01T00:00:00.000,-33.166670,-64.950000,"[-64.95, -33.16667]"
Adhi Kot,379,Valid,EH4,,1919-01-01T00:00:00.000,32.100000,71.800000,"[71.8, 32.1]"
Adzhi-Bogdo (stone),390,Valid,LL3-6,,1949-01-01T00:00:00.000,44.833330,95.166670,"[95.16667, 44.83333]"
Agen,392,Valid,H5,,1814-01-01T00:00:00.000,44.216670,0.616670,"[0.61667, 44.21667]"
Aguada,398,Valid,L6,,1930-01-01T00:00:00.000,-31.600000,-65.233330,"[-65.23333, -31.6]"
Aguila Blanca,417,Valid,L,,1920-01-01T00:00:00.000,-30.866670,-64.550000,"[-64.55, -30.86667]"
Aioun el Atrouss,423,Valid,Diogenite-pm,,1974-01-01T00:00:00.000,16.398060,-9.570280,"[-9.57028, 16.39806]"
Aïr,424,Valid,L6,,1925-01-01T00:00:00.000,19.083330,8.383330,"[8.38333, 19.08333]"
Aire-sur-la-Lys,425,Valid,Unknown,,1769-01-01T00:00:00.000,50.666670,2.333330,"[2.33333, 50.66667]"
Akaba,426,Valid,L6,,1949-01-01T00:00:00.000,29.516670,35.050000,"[35.05, 29.51667]"
Akbarpur,427,Valid,H4,,1838-01-01T00:00:00.000,29.716670,77.950000,"[77.95, 29.71667]"
Akwanga,432,Valid,H,,1959-01-01T00:00:00.000,8.916670,8.433330,"[8.43333, 8.91667]"
Akyumak,433,Valid,"Iron, IVA",,1981-01-01T00:00:00.000,39.916670,42.816670,"[42.81667, 39.91667]"
Al Rais,446,Valid,CR2-an,,1957-01-01T00:00:00.000,24.416670,39.516670,"[39.51667, 24.41667]"
Al Zarnkh,447,Valid,LL5,,2001-01-01T00:00:00.000,13.660330,28.960000,"[28.96, 13.66033]"
Alais,448,Valid,CI1,,1806-01-01T00:00:00.000,44.116670,4.083330,"[4.08333, 44.11667]"
Albareto,453,Valid,L/LL4,,1766-01-01T00:00:00.000,44.650000,11.016670,"[11.01667, 44.65]"
Alberta,454,Valid,L,,1949-01-01T00:00:00.000,2.000000,22.666670,"[22.66667, 2]"
Alby sur Chéran,458,Valid,Eucrite-mmict,,2002-01-01T00:00:00.000,45.821330,6.015330,"[6.01533, 45.82133]"
Aldsworth,461,Valid,LL5,,1835-01-01T00:00:00.000,51.783330,-1.783330,"[-1.78333, 51.78333]"
Aleppo,462,Valid,L6,,1873-01-01T00:00:00.000,36.233330,37.133330,"[37.13333, 36.23333]"
Alessandria,463,Valid,H5,,1860-01-01T00:00:00.000,44.883330,8.750000,"[8.75, 44.88333]"
